area_m2,quartos,banheiros,vagas,idade_anos,preco
144,2,2,1,15,763304.37
113,2,2,1,8,744438.38
152,3,4,1,19,858876.67
196,2,2,1,3,1009228.51
108,2,2,0,36,645650.92
108,3,3,2,28,714372.33
198,3,3,2,24,981937.79
158,4,5,2,1,1093507.53
96,3,3,1,17,587450.03
147,1,2,1,27,785272.99
96,2,3,1,20,608976.97
96,5,5,0,4,731804.06
132,3,3,1,8,847152.16
40,3,4,0,10,353585.16
40,1,1,0,8,263725.79
91,3,2,2,30,599127.04
69,1,1,0,0,425927.46
135,3,3,4,21,1028268.88
74,4,4,1,2,598834.08
49,5,5,4,5,520946.3
193,3,3,0,0,1077207.04
108,3,4,1,9,714243.1
123,4,4,1,30,855564.74
48,3,3,2,17,444598.92
92,1,1,1,3,537895.77
125,3,3,1,25,700921.77
62,2,2,3,27,434205.55
138,3,3,1,16,852882.44
89,3,3,0,35,648405.75
105,3,3,1,23,688985.73
89,2,2,2,21,491646.42
212,2,3,1,6,1176457.67
119,3,3,1,21,696888.71
67,4,5,0,17,480666.38
161,3,4,1,20,930209.75
58,2,2,2,8,440648.08
130,4,4,1,16,876338.11
40,4,4,1,6,430587.07
53,2,3,0,0,416774.48
129,1,1,1,24,598160.6
156,3,3,0,0,855913.62
128,4,4,1,16,810616.38
114,5,5,1,18,792225.61
104,4,4,3,18,820925.54
46,3,3,0,12,368267.89
84,3,3,1,17,566789.94
96,1,1,1,19,561991.62
172,2,2,1,22,942373.53
137,3,3,3,32,883095.86
40,3,3,1,17,375527.93
136,3,2,0,15,792146.48
100,3,4,2,5,690826.21
86,2,3,1,19,550018.21
150,3,3,0,21,964188.43
171,1,1,1,13,852573.29
166,3,3,1,20,1107805.72
78,3,3,2,12,504580.42
104,3,3,0,21,609820.74
136,5,5,1,24,936667.89
168,2,2,1,23,1018021.03
96,3,3,1,16,555712.77
110,2,2,4,4,697214.06
64,3,3,0,8,473291.3
60,4,4,4,20,665029.99
160,3,3,1,39,1002377.48
187,4,4,2,11,1115903.32
116,2,3,1,19,565738.47
170,4,4,1,9,1048302.47
138,1,2,3,5,892643.4
87,4,4,3,8,676630.3
138,2,2,1,0,768852.22
196,2,2,0,28,1071471.75
118,3,3,1,0,702710.52
198,4,4,3,12,1433795.48
40,1,1,1,3,331355.85
161,2,2,2,6,995790.83
124,4,3,2,28,788619.47
105,2,1,2,17,600990.07
124,2,2,1,5,746256.93
40,3,3,1,9,403252.75
109,2,3,4,7,822974.34
137,4,4,2,14,898405.12
193,3,3,2,16,1209231.61
94,3,3,1,33,616274.65
79,5,5,2,0,670606.43
94,3,3,1,14,667557.49
